% 1. Title: League of Legends | Champions | Level-18 Stats
%
% 2. Sources:
%	(a) Creator: Chong-U Lim (culim@mit.edu)
%	(b) Research Group: Imagination, Computation, and Expression Lab (http://icelab.mit.edu)
%	(c) Institution: Massachusetts Institute of Technology (http://mit.edu)
%	(d) League of Legends King - Champions (http://www.lolking.net/champions/)
%	(e) Date: 2013-11-30 13:39:45.599337
%
@RELATION lol_meta

@ATTRIBUTE RPCost NUMERIC
@ATTRIBUTE IPCost NUMERIC
@ATTRIBUTE Popularity NUMERIC
@ATTRIBUTE WinRate NUMERIC
@ATTRIBUTE BanRate NUMERIC
@ATTRIBUTE Meta {TopLane, Support, MiddleLane, Jungler, ADCarry}
@ATTRIBUTE Champion STRING

@DATA
260,450,9.36,47.87,0.19,MiddleLane,"MasterYi"
790,3150,7.87,49.89,0.03,ADCarry,"MissFortune"
790,3150,2.64,48.73,0.05,TopLane,"Mordekaiser"
585,1350,9.29,51.04,0.22,MiddleLane,"Morgana"
975,6300,8.39,49.93,0.09,Support,"Nami"
585,1350,21.93,51.8,45.29,TopLane,"Nasus"
975,6300,2.98,48.91,0.12,Jungler,"Nautilus"
790,3150,16.98,47.23,23.75,TopLane,"Nidalee"
880,4800,5.58,47.8,0.46,Jungler,"Nocturne"
260,450,4.03,47.56,0.12,Support,"Nunu"
790,3150,7.89,47.11,7.18,TopLane,"Olaf"
880,4800,10.51,49.93,4.3,MiddleLane,"Orianna"
790,3150,8.13,48.97,0.18,TopLane,"Pantheon"
260,450,1.51,49.82,0.11,TopLane,"Poppy"
975,6300,3.5,49.55,0.12,ADCarry,"Quinn"
790,3150,6.26,56.91,2.62,Jungler,"Rammus"
880,4800,16.21,49.97,10.82,TopLane,"Renekton"
975,6300,7.03,47.14,6.63,Jungler,"Rengar"
880,4800,20.72,50.94,53.28,TopLane,"Riven"
880,4800,1.67,50.5,0.12,TopLane,"Rumble"
260,450,4.15,46.11,0.09,MiddleLane,"Ryze"
975,6300,3.74,53.04,0.07,Jungler,"Sejuani"
790,3150,4.19,47.27,0.61,Jungler,"Shaco"
790,3150,9.05,47.09,7.74,TopLane,"Shen"
975,6300,13.64,52.37,41.95,Jungler,"Shyvana"
585,1350,4.19,50.78,0.36,TopLane,"Singed"
585,1350,1.79,46.32,0.09,MiddleLane,"Sion"
260,450,14.25,57.43,5.44,ADCarry,"Sivir"
880,4800,1.32,48.62,0.06,Jungler,"Skarner"
790,3150,14.91,51.67,0.13,Support,"Sona"
260,450,7.18,46.9,0.22,Support,"Soraka"
880,4800,3.64,53.21,0.19,MiddleLane,"Swain"
975,6300,7.09,47.48,8.32,MiddleLane,"Syndra"
880,4800,4.28,51.42,0.07,TopLane,"Talon"
585,1350,15.36,55.74,4.72,Support,"Taric"
585,1350,12.14,52.86,1.14,TopLane,"Teemo"
975,6300,25.1,52.61,11.46,Support,"Thresh"
585,1350,10.67,48.07,0.06,ADCarry,"Tristana"
880,4800,1.99,48.84,0.06,Jungler,"Trundle"
585,1350,9.45,49.34,5.77,TopLane,"Tryndamere"
585,1350,3.36,46.57,0.42,MiddleLane,"TwistedFate"
790,3150,5.37,49.71,0.08,ADCarry,"Twitch"
585,1350,8.74,49.66,0.43,Jungler,"Udyr"
790,3150,0.52,42.92,0.03,ADCarry,"Urgot"
975,6300,11.59,50.3,0.1,ADCarry,"Varus"
880,4800,23.91,44.66,10.13,ADCarry,"Vayne"
585,1350,3.32,46.08,0.07,MiddleLane,"Veigar"
975,6300,14.52,49.86,10.98,Jungler,"Vi"
975,6300,1.38,50.35,0.03,MiddleLane,"Viktor"
880,4800,5.83,46.6,0.35,MiddleLane,"Vladimir"
975,6300,7.83,51.54,0.08,Jungler,"Volibear"
260,450,8.16,52.62,0.05,Jungler,"Warwick"
880,4800,6.74,53.39,0.67,TopLane,"Wukong"
880,4800,1.26,51.22,0.13,MiddleLane,"Xerath"
790,3150,10.51,50.39,0.05,Jungler,"XinZhao"
880,4800,2.17,50.58,0.09,TopLane,"Yorick"
975,6300,3.86,48.45,0.69,Jungler,"Zac"
975,6300,10.26,45.09,16.85,TopLane,"Zed"
487,6300,7.47,55.07,4.12,MiddleLane,"Ziggs"
585,1350,1.51,48.82,0.17,MiddleLane,"Zilean"
975,6300,7.1,49.83,0.91,MiddleLane,"Zyra"
